the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.97374696698346 40.76327103495621, -73.9734652341548 40.76365910485042))",1,Manhattan,105,4,"73,75",28,12,5 AVENUE,297454,1,32565,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,161.4966394
"MULTILINESTRING ((-73.9670627489002 40.76088958718673, -73.9670364966003 40.76092299650347))",1,Manhattan,106,4,73,28,12,3 AVENUE,323792,1,33030,MN0604,MN,Global,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,,14.17924885
"MULTILINESTRING ((-73.97352419656829 40.75780844003777, -73.97330195209378 40.75811231907888))",1,Manhattan,105,4,73,27,12,PARK AVENUE,284715,1,33029,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,126.681937
"MULTILINESTRING ((-73.97321031898011 40.75823761027287, -73.9730685188602 40.75843149284046))",1,Manhattan,105,4,73,27,12,PARK AVENUE,284720,1,33029,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,80.82653293
"MULTILINESTRING ((-73.97330195209378 40.75811231907888, -73.97321031898011 40.75823761027287))",1,Manhattan,105,4,73,27,12,PARK AVENUE,284719,1,33029,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,52.23174923
"MULTILINESTRING ((-73.97443866335647 40.7565563060724, -73.97398183140766 40.75717975766323))",1,Manhattan,105,4,73,27,12,PARK AVENUE,35970,1,32923,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,260.0238178
"MULTILINESTRING ((-73.9707506395499 40.761608700701586, -73.97025814675949 40.76228875264046))",1,Manhattan,105,4,73,28,12,PARK AVENUE,36151,1,32463,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,282.8449949
"MULTILINESTRING ((-73.97398183140766 40.75717975766323, -73.97352419656829 40.75780844003777))",1,Manhattan,105,4,73,27,12,PARK AVENUE,35986,1,32880,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,261.7973163
"MULTILINESTRING ((-73.9712427742973 40.76093641785715, -73.9707506395499 40.761608700701586))",1,Manhattan,105,4,73,"28,27",12,PARK AVENUE,36148,1,32442,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,280.3212388
"MULTILINESTRING ((-73.9730685188602 40.75843149284046, -73.972612713426 40.759059308326705))",1,Manhattan,105,4,73,27,12,PARK AVENUE,35989,1,32925,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,261.2745947
"MULTILINESTRING ((-73.97025814675949 40.76228875264046, -73.9698002894773 40.76291351152215))",1,Manhattan,"105,108",4,73,28,12,PARK AVENUE,36167,1,32279,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay,Upper East Side-Carnegie Hill",X,AREA OF MINIMAL FLOOD HAZARD,,260.572996
"MULTILINESTRING ((-73.9753437801406 40.75529969431891, -73.9748872717504 40.75592378993911))",1,Manhattan,105,4,73,27,12,PARK AVENUE,35965,1,32922,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,260.1863518
"MULTILINESTRING ((-73.9748872717504 40.75592378993911, -73.97443866335647 40.7565563060724))",1,Manhattan,105,4,73,27,12,PARK AVENUE,35967,1,32938,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,261.8250556
"MULTILINESTRING ((-73.972612713426 40.759059308326705, -73.97215595443662 40.75968123962643))",1,Manhattan,105,4,73,"28,27",12,PARK AVENUE,35991,1,32962,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,259.5280044
"MULTILINESTRING ((-73.98859298416154 40.73714256116461, -73.98817910317638 40.73773074898479))",1,Manhattan,105,2,"74,75",28,12,PARK AVENUE SOUTH,32966,1,32603,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,243.0594051
"MULTILINESTRING ((-73.98684918555857 40.739521822134385, -73.98636141742988 40.740184799904945))",1,Manhattan,105,2,"74,75",28,12,PARK AVENUE SOUTH,32996,1,32109,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,6,276.7919328
"MULTILINESTRING ((-73.98901559381696 40.736560153901664, -73.98859298416154 40.73714256116461))",1,Manhattan,105,2,"74,75",28,12,PARK AVENUE SOUTH,32963,1,32659,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,242.364712
"MULTILINESTRING ((-73.98774074496849 40.738312187866, -73.98730154858288 40.73890302623696))",1,Manhattan,"105,106",2,"74,75",28,12,PARK AVENUE SOUTH,32986,1,32164,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,6,247.2867145
"MULTILINESTRING ((-73.98636141742988 40.740184799904945, -73.98587913197873 40.74085299916286))",1,Manhattan,105,2,"74,75",28,12,PARK AVENUE SOUTH,33160,1,32669,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,6,277.7186147
"MULTILINESTRING ((-73.98817910317638 40.73773074898479, -73.98774074496849 40.738312187866))",1,Manhattan,105,2,"74,75",28,12,PARK AVENUE SOUTH,32984,1,32668,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,244.1963867
"MULTILINESTRING ((-73.98730154858288 40.73890302623696, -73.9870359273951 40.739266378382))",1,Manhattan,"105,106",2,"74,75",28,12,PARK AVENUE SOUTH,32988,1,32262,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,6,151.4689905
"MULTILINESTRING ((-73.9870359273951 40.739266378382, -73.98684918555857 40.739521822134385))",1,Manhattan,"105,106",2,"74,75",28,12,PARK AVENUE SOUTH,32993,1,32262,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,6,106.4862437
"MULTILINESTRING ((-73.99934500950383 40.72500750435167, -74.00010082483573 40.725381614566636))",1,Manhattan,102,1,66,26,10,PRINCE STREET,32374,1,30434,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"4,5,6",249.9307214
"MULTILINESTRING ((-73.99858533213083 40.72463234631926, -73.99934500950383 40.72500750435167))",1,Manhattan,102,1,66,26,10,PRINCE STREET,32376,1,30584,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",251.0373104
"MULTILINESTRING ((-73.99778508861633 40.7242348939789, -73.99858533213083 40.72463234631926))",1,Manhattan,102,1,66,26,10,PRINCE STREET,32380,1,30419,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",264.8930104
"MULTILINESTRING ((-73.9969519711813 40.723879984251674, -73.99778508861633 40.7242348939789))",1,Manhattan,102,1,66,26,10,PRINCE STREET,32532,1,30477,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,6,264.6613471
"MULTILINESTRING ((-73.99647634724688 40.7236856758995, -73.9969519711813 40.723879984251674))",1,Manhattan,102,1,66,26,10,PRINCE STREET,32520,1,30520,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,,149.6391625
"MULTILINESTRING ((-74.00010082483573 40.725381614566636, -74.00089769870506 40.725773106516534))",1,Manhattan,102,1,66,26,10,PRINCE STREET,32372,1,30604,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"3,4,5",262.9239162
"MULTILINESTRING ((-74.00112704395721 40.72416641703622, -74.00193353224434 40.724551787330086))",1,Manhattan,102,1,66,26,10,SPRING STREET,32140,1,30554,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"2,3,4,5",263.9769852
"MULTILINESTRING ((-73.99712269669025 40.72230075549957, -73.99798063923676 40.72266290550193))",1,Manhattan,102,1,"65,66",26,10,SPRING STREET,32514,1,30479,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,6,271.9609788
"MULTILINESTRING ((-73.99881172287144 40.72302140896052, -73.99960961432252 40.72342265437228))",1,Manhattan,102,1,66,26,10,SPRING STREET,32363,1,30480,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",265.1101968
"MULTILINESTRING ((-73.99960961432252 40.72342265437228, -74.00036756738088 40.72379524016286))",1,Manhattan,102,1,66,26,10,SPRING STREET,32359,1,30605,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"3,5,6",250.1299226
"MULTILINESTRING ((-74.00036756738088 40.72379524016286, -74.00112704395721 40.72416641703622))",1,Manhattan,102,1,66,26,10,SPRING STREET,32355,1,30585,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"2,3,4,5",250.2059329
"MULTILINESTRING ((-73.99798063923676 40.72266290550193, -73.99881172287144 40.72302140896052))",1,Manhattan,102,1,66,26,10,SPRING STREET,32366,1,30409,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",264.8165997
"MULTILINESTRING ((-74.01363820647819 40.702371128395654, -74.01374945791267 40.702389550437886))",1,Manhattan,101,1,65,26,10,STATE STREET,257473,1,30058,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,31.56851711
"MULTILINESTRING ((-74.01383441099365 40.70240570084355, -74.01420580503273 40.70273719613408))",1,Manhattan,101,1,65,26,10,STATE STREET,257466,1,30037,MN0101,MN,Global,"Financial District-Battery Park City,The Battery-Governors Island-Ellis Island-Liberty Island",AE,,1,158.7149163
"MULTILINESTRING ((-74.01420580503273 40.70273719613408, -74.01423096799391 40.70276322141819, -74.01425483308086 40.702789944754095, -74.01427736833644 40.702817328325025, -74.01429854180338 40.70284533431428, -74.01431832270725 40.702873924004386, -74.0143366850062 40.702903056876316, -74.01435360265816 40.70293269241087, -74.01436905080375 40.70296278828786, -74.0143830081336 40.70299330308688, -74.01439545688766 40.703024194486694, -74.01440637693892 40.70305541836519, -74.01441575525988 40.70308693059945, -74.0144235776401 40.70311868886746, -74.01442983223461 40.70315064724498))",1,Manhattan,101,1,65,26,10,STATE STREET,257467,1,30037,MN0101,MN,Global,"Financial District-Battery Park City,The Battery-Governors Island-Ellis Island-Liberty Island",AE,,"1,2",164.8061824
"MULTILINESTRING ((-74.0142552396094 40.7044254720254, -74.01425400620326 40.70443461147021, -74.01425334433588 40.70444378506365, -74.0142532551864 40.70445297209383, -74.01425373993408 40.70446215274937, -74.01425479620777 40.70447130451771, -74.0142564216371 40.704480408488465, -74.01425861385103 40.70448944304957, -74.01426136692909 40.7044983883905, -74.01426467376744 40.70450722470082, -74.01426852844538 40.70451593126946, -74.01427292267584 40.70452448828615, -74.01427784462209 40.70453287774205, -74.01428328363025 40.70454107892667, -74.01428922904726 40.70454907563197))",1,Manhattan,101,1,65,26,10,STATE STREET,235442,1,30035,MN0101,MN,Global,"Financial District-Battery Park City,The Battery-Governors Island-Ellis Island-Liberty Island",X,AREA OF MINIMAL FLOOD HAZARD,"1,3,4",46.8616521
"MULTILINESTRING ((-74.01442983223461 40.70315064724498, -74.01439176843395 40.7035987826561))",1,Manhattan,101,1,65,26,10,STATE STREET,22993,1,29982,MN0101,MN,Global,"Financial District-Battery Park City,The Battery-Governors Island-Ellis Island-Liberty Island","AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,2,3",163.6098762
"MULTILINESTRING ((-74.01374945791267 40.702389550437886, -74.01383441099365 40.70240570084355))",1,Manhattan,101,1,65,26,10,STATE STREET,22997,1,30058,MN0101,MN,Global,"Financial District-Battery Park City,The Battery-Governors Island-Ellis Island-Liberty Island",AE,,1,24.27881786
"MULTILINESTRING ((-73.985293828931 40.72759283780802, -73.98309064141175 40.72666581356257))",1,Manhattan,103,2,"74,66",27,12,ST MARKS PLACE,33107,1,31646,MN0303,MN,Global,East Village,X,AREA OF MINIMAL FLOOD HAZARD,"4,5,6",697.8309105
"MULTILINESTRING ((-73.98993015600884 40.72955941991033, -73.98767161564135 40.72859510401484))",1,Manhattan,103,2,66,27,12,ST MARKS PLACE,32915,1,31632,MN0303,MN,Global,East Village,X,AREA OF MINIMAL FLOOD HAZARD,6,717.8300263
"MULTILINESTRING ((-73.98767161564135 40.72859510401484, -73.985293828931 40.72759283780802))",1,Manhattan,103,2,"74,66",27,12,ST MARKS PLACE,32912,1,31630,MN0303,MN,Global,East Village,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",753.4381143
"MULTILINESTRING ((-73.99024533174061 40.7350921514948, -73.99022175182698 40.73510957702379, -73.99019872942745 40.735127427635035, -73.99017627756551 40.73514569432496, -73.9901544104488 40.73516436718955, -73.99013313873382 40.735183433622836, -73.99011247544466 40.735202882820204, -73.99009243360523 40.73522270487758, -73.99007302268812 40.735242888089424, -73.99005425453413 40.7352634189495, -73.99003614216714 40.735284288454146, -73.99001869387656 40.73530548219628, -73.99000191913518 40.73532698937088, -73.98998582978383 40.73534879647172, -73.9899704341117 40.73537089179315))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,250951,1,30818,MN0602,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,127.5511417
"MULTILINESTRING ((-73.9899704341117 40.73537089179315, -73.98987421380659 40.73540825804987))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,283286,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,29.93997714
"MULTILINESTRING ((-73.99075396816592 40.73483915434294, -73.99071523215474 40.73485421762398, -73.99067682634886 40.73486976269041, -73.9906387602193 40.7348857832398, -73.99060104560422 40.73490227657187, -73.99056368960667 40.73491923818507, -73.99052670524921 40.73493666267771, -73.99049010081869 40.73495454644885, -73.99045388697003 40.73497288319612, -73.99041807199036 40.73499166931865, -73.99038266771848 40.73501089851411, -73.99034768125763 40.73503056718151, -73.99031312444673 40.7350506690187, -73.99027900438932 40.73507119952405, -73.99024533174061 40.7350921514948))",1,Manhattan,"105,102",2,"74,66,75",28,12,UNION SQUARE EAST,32956,1,30818,MN0602,MN,Global,"Greenwich Village,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,,168.7908676
"MULTILINESTRING ((-73.98990296066164 40.73443478993218, -73.98996644216197 40.734970103313024))",1,Manhattan,"105,103,102",2,"74,66","28,27",12,UNION SQUARE EAST,32945,1,31660,MN0602,MN,Global,"Greenwich Village,East Village,Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,195.823381
"MULTILINESTRING ((-73.98945472120609 40.73598724691183, -73.98920954021175 40.73630712056824))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164379,1,32697,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,134.9014282
"MULTILINESTRING ((-73.98920954021175 40.73630712056824, -73.98901559381696 40.736560153901664))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164380,1,32697,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,106.7122421
"MULTILINESTRING ((-73.98996644216197 40.734970103313024, -73.98996774159711 40.73499647299857, -73.98996766896154 40.73502286057464, -73.98996622544348 40.73504922551843, -73.98996341341521 40.735075527307316, -73.98995923524923 40.735101722717054, -73.98995369923668 40.73512777302626, -73.98994681366928 40.73515363591172, -73.98993858920622 40.73517927085121, -73.98992903887418 40.73520463912371, -73.98991817688393 40.73522970020736, -73.98990602099774 40.73525441538149, -73.98989259016173 40.73527874502497, -73.9898779056897 40.73530265221842, -73.98986198889538 40.735326099142014))",1,Manhattan,105,2,74,"28,27",12,UNION SQUARE EAST,250870,1,31660,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,134.5954931
"MULTILINESTRING ((-73.99121075949765 40.73588818538465, -73.99075240037757 40.736530904890664))",1,Manhattan,105,2,"66,75","28,27",12,UNION SQUARE WEST,32806,1,32195,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,266.3976106
"MULTILINESTRING ((-73.99075240037757 40.736530904890664, -73.99033070314395 40.73713186005661))",1,Manhattan,105,2,"66,75","28,27",12,UNION SQUARE WEST,32808,1,32185,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,248.1832753
"MULTILINESTRING ((-73.99171498742916 40.73521530119412, -73.99121075949765 40.73588818538465))",1,Manhattan,"105,102",2,"66,75","28,27",12,UNION SQUARE WEST,110559,1,30682,MN0501,MN,Global,"Greenwich Village,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,,282.1820282
"MULTILINESTRING ((-74.00881270607998 40.706012310690845, -74.00794861251617 40.70554618784741))",1,Manhattan,101,1,65,26,10,WALL STREET,23183,1,29801,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,3,4",293.6601156
"MULTILINESTRING ((-74.00739218802947 40.70518268844746, -74.00689991932072 40.70482424338785))",1,Manhattan,101,1,65,26,10,WALL STREET,23301,1,29773,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,188.899151
"MULTILINESTRING ((-74.00794861251617 40.70554618784741, -74.00739218802947 40.70518268844746))",1,Manhattan,101,1,65,26,10,WALL STREET,23295,1,29992,MN0101,MN,Global,Financial District-Battery Park City,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,3,4",203.3199061
"MULTILINESTRING ((-74.00950278978388 40.70637890799853, -74.00881270607998 40.706012310690845))",1,Manhattan,101,1,65,26,10,WALL STREET,23174,1,29919,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"3,4,5",233.3361932
"MULTILINESTRING ((-74.01067628730094 40.70711636892422, -74.01004195060342 40.706717736345176))",1,Manhattan,101,1,65,26,10,WALL STREET,324609,1,29885,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",228.0866714
"MULTILINESTRING ((-74.01004195060342 40.706717736345176, -74.00950278978388 40.70637890799853))",1,Manhattan,101,1,65,26,10,WALL STREET,324610,1,29885,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"3,4,5",193.8667121
"MULTILINESTRING ((-74.00689991932072 40.70482424338785, -74.0062927454217 40.704233767726244))",1,Manhattan,101,1,65,26,10,WALL STREET,118086,1,29827,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,273.1675332
"MULTILINESTRING ((-74.00569066810948 40.70637506225782, -74.00500225440285 40.7068525183177))",1,Manhattan,101,1,65,26,10,WATER STREET,23318,1,29813,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,258.2413574
"MULTILINESTRING ((-74.0060203950026 40.70614236325506, -74.00569066810948 40.70637506225782))",1,Manhattan,101,1,65,26,10,WATER STREET,23315,1,29777,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,124.678931
"MULTILINESTRING ((-74.00676557731123 40.70562379749634, -74.0060203950026 40.70614236325506))",1,Manhattan,101,1,65,26,10,WATER STREET,23308,1,29814,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,279.9650939
"MULTILINESTRING ((-74.01020028895246 40.70328219176509, -74.00898755324133 40.70408482794107))",1,Manhattan,101,1,65,26,10,WATER STREET,23137,1,30010,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,445.6185891
"MULTILINESTRING ((-74.00878919259463 40.70421090227653, -74.00812645286996 40.70467179677727))",1,Manhattan,101,1,65,26,10,WATER STREET,23148,1,30057,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,248.9205232
"MULTILINESTRING ((-74.01282671107701 40.70240862624739, -74.01231160786881 40.70268653271119))",1,Manhattan,101,1,65,26,10,WATER STREET,23010,1,29966,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,175.0709408
"MULTILINESTRING ((-74.01231160786881 40.70268653271119, -74.0122568649823 40.70271043723576, -74.01220163087994 40.70273367810912, -74.01214591857772 40.70275624902566, -74.01208974345833 40.70277814548039, -74.01203311972122 40.70279936116767, -74.0119760603824 40.7028198897819, -74.01191858082528 40.70283972861928, -74.01186069524915 40.70285887047361, -74.01180241785396 40.702877310840286, -74.01174376283973 40.70289504611528, -74.01168474677283 40.70291207089319, -74.01162538267032 40.70292838157014, -74.01156568591544 40.702943973641474, -74.01150567189183 40.70295884350308))",1,Manhattan,101,1,65,26,10,WATER STREET,23016,1,29887,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,244.9950777
"MULTILINESTRING ((-74.00739218802947 40.70518268844746, -74.00676557731123 40.70562379749634))",1,Manhattan,101,1,65,26,10,WATER STREET,23302,1,29811,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,236.665672
"MULTILINESTRING ((-74.00500225440285 40.7068525183177, -74.00405660256759 40.70743678111505))",1,Manhattan,101,1,65,26,10,WATER STREET,23329,1,29785,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,337.7147272
"MULTILINESTRING ((-74.01150567189183 40.70295884350308, -74.01020028895246 40.70328219176509))",1,Manhattan,101,1,65,26,10,WATER STREET,23018,1,30010,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,380.6300111
"MULTILINESTRING ((-74.01282671107701 40.70240862624739, -74.01266346194058 40.701813009765324))",1,Manhattan,101,1,65,26,10,WHITEHALL STREET,119851,1,30092,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,221.6714679
"MULTILINESTRING ((-74.01318764333136 40.704042717065995, -74.01311347985514 40.703587165698956))",1,Manhattan,101,1,65,26,10,WHITEHALL STREET,23003,1,29831,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,2,3",167.2399609
"MULTILINESTRING ((-74.01299783861998 40.70309951570532, -74.0128785162805 40.70266450089104))",1,Manhattan,101,1,65,26,10,WHITEHALL STREET,23011,1,30034,MN0101,MN,Global,Financial District-Battery Park City,AE,,"1,2",161.9052328
"MULTILINESTRING ((-74.01311347985514 40.703587165698956, -74.01299783861998 40.70309951570532))",1,Manhattan,101,1,65,26,10,WHITEHALL STREET,23001,1,29948,MN0101,MN,Global,Financial District-Battery Park City,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,2,3",180.5355564
"MULTILINESTRING ((-74.0128785162805 40.70266450089104, -74.01282671107701 40.70240862624739))",1,Manhattan,101,1,65,26,10,WHITEHALL STREET,23006,1,30034,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,94.32290851
"MULTILINESTRING ((-74.0082689573427 40.70772193569958, -74.0080042598509 40.70797679096744))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23215,1,29802,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",118.3512913
"MULTILINESTRING ((-74.00974639348551 40.70477524784779, -74.00998418639004 40.70514773306075))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23169,1,29806,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,2,3,4",150.8753282
"MULTILINESTRING ((-74.00986580839657 40.70579642669454, -74.00950278978388 40.70637890799853))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23172,1,29789,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,3,4,5",234.8735642
"MULTILINESTRING ((-74.0080042598509 40.70797679096744, -74.00764028920646 40.708345240921766))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23336,1,29847,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",167.9358728
"MULTILINESTRING ((-74.00900515682534 40.70693892196117, -74.0086453788268 40.707340019249045))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23180,1,29770,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,3,5",176.930323
"MULTILINESTRING ((-74.00998418639004 40.70514773306075, -74.009995205654 40.70533123833429))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,110871,1,30060,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,2,3,4",66.92624493
"MULTILINESTRING ((-74.009995205654 40.70533123833429, -74.00986580839657 40.70579642669454))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,110872,1,30060,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,4",173.2376661
"MULTILINESTRING ((-74.00764028920646 40.708345240921766, -74.00728273387183 40.70870950912916))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23339,1,29810,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",165.6497615
"MULTILINESTRING ((-74.00950278978388 40.70637890799853, -74.00900515682534 40.70693892196117))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23173,1,29862,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,3,4,5",246.3006488
"MULTILINESTRING ((-74.00706700438451 40.708924436743786, -74.00696369104807 40.70902689508164))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,314540,1,30052,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,5,47.05154301
"MULTILINESTRING ((-74.00712782443247 40.708862513854044, -74.00706700438451 40.708924436743786))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,314539,1,30052,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,5,28.16552978
"MULTILINESTRING ((-74.00728273387183 40.70870950912916, -74.00712782443247 40.708862513854044))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,314533,1,30052,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",70.3699478
